;text;option_1;option_2;option_3;option_4;rating
q146;Choose the better romantic activity:;Kissing in Paris;Kissing in a tent, in the woods;;;
q31840;I prefer to sleep:;Alone;With my partner, but apart (not touching);Touching my partner;Embracing / cuddling my partner;
q40194;How important is it that your partner be willing and able to participate in meaningful philosophical conversations?;Extremely important.;Somewhat important.;Not at all important.;;
q15889;Do you put more weight in science or faith?;Science;Faith;Equally in both;;
q56;Are you attracted to dangerous situations?;Yes;No;;;
q170849;Do you Google someone before a first date?;Yes. Knowledge is power!;No. Why spoil the mystery?;;;
q15698;How do you feel about kids?;Kids are precious - they love me and I love them!;They're okay, but keep the unruly ones at bay.;God, how revolting. *shudder*;I'm indifferent.;
q14913;Did you join OkCupid just so you could find people to have sex with?;Yes;No;;;
q16713;Are you careful with your money?;Yes;No;;;
q80041;Are you looking for a partner to have children with?;Yes;No;;;
q158;Are you an aspiring actor/artist/writer or other creative type?;Yes;No;;;
q165644;What's worse on a first date?;No physical attraction;Nothing to talk about;;;
q19378;How are you most likely to show your partner you care?;Words: Tell them how much you appreciate them;Actions: Do something nice (like a date or errand);Gifts: Buy them flowers, jewelery or a new gadget;Touch: Give them a hug, massage or kiss;
q35355;How open are you to trying new things in bed?;Very open. I'll try anything once.;I'm open, but I don't get too crazy.;Hesitant, but it might happen.;Not at all.;
q20519;In a relationship I like to discuss politics with my partner.;All the time!;Sure. I'm interested in sharing our beliefs.;Sometimes. It depends.;Hardly. Politics are boring or personal.;
q46927;Would you consider dating someone who has vocalized a strong negative bias toward a certain race of people?;Yes.;No.;It depends on which race.;;
q128;Do you have any tattoos?;I have 1 or more BIG tattoos;I have 1 or more LITTLE tattoos;I have no tattoos;;
q52682;If one of your potential matches were overweight, would that be a dealbreaker?;Yes, even if they were slightly overweight.;Yes, but only if they were obese.;No.;No, in fact I prefer overweight people.;
q156913;Are you Christian?;Yes;No;;;
q53611;How often do you meditate?;Frequently.;Rarely.;Never.;;
q55744;If you were going to have a child, would you want the other parent to be of the same ethnicity as you?;Yes.;No.;This would not be an important factor to me.;;
q134;Do you think women have an obligation to keep their legs shaved?;Yes;No;;;
q20021;Which of these options most closely describes what you're looking for in your next relationship?;Someone to come home to;Someone to go out with;Someone for tonight;;
q19874;How long do your romantic relationships usually last?;0-6 months;6-12 months;12+ months;I've never been in a relationship;
q19898;Do you enjoy finding out what makes things work the way they do?;I'm an information sponge;Sometimes;As long as it works, who cares why?;;
q41850;How important is it for you to make physical contact when showing affection for someone?;Very important.;Somewhat important.;Not important.;;
q40441;If you were to die, would whoever goes through your personal belongings be shocked by what they find?;Yes.;No.;Maybe a little bit.;;
q1401;Have you ever had a sexual encounter with someone of the same sex?;Yes, and I enjoyed myself.;Yes, and I did not enjoy myself.;No, and I would never.;No, but I would like to.;
q66506;How important to you is a potential match's sense of humor?;Very important.;Somewhat important.;Not important.;;
q1062;How frequently do you bathe or shower?;At least once a day.;Usually daily.  I skip some.;A couple times a week.;Once a week or less.;
q442;If you don't do anything at all for an entire day, how does that make you feel?;Good;Bad;;;
q27921;Do you believe your country would be more or less safe if every adult owned a gun?;More safe;Less safe;Neither / unsure;;
q31581;Your significant other's ex is coming into town and he/she wants to go out to dinner with them alone. How do you react?;Sure, no problem.;Not thrilled, but go ahead.;No way.;;
q221106;How often do you tweet?;All the time;Sometimes;Rarely;Never;
q18875;How important is it to you that your partner smell good?;Very damn important;Important-ish;Less important than you think;I just don't care at all;
q416236;How do you feel about documentaries?;Yay!;Okay;NO.;;
q20418;Do you keep a budget (of your finances)?;Yes;No;Sometimes;;
q20725;Do you space out or daydream a lot?;All the time;Rarely / never;Sometimes;;
q212814;How important are your political beliefs to you?;Very important;Somewhat important;A little important;Not at all important;
q13006;Would you go out with a smoker?;Yes;Yes, but only an occasional/social smoker;No;;
q28903;Which of these is likely to make you more nervous?;A promising first date;An important interview;;;
q838;For you personally, is abortion an option in case of an accidental pregnancy?;Yes;No;;;
q43261;How much influence or control do your parents have over your life?;I am my own person.;I consider their opinion but go my own way.;I almost always do what my parents think is best.;I always do what my parents say.;
q20135;How do you feel about falling in love?;I love it and want it very much;I try to avoid it;I like to just let it happen;I'm indifferent / not sure;
q612;Should evolution and creationism be taught side-by-side in school?;Yes, students should hear both sides;No, creationism has no place in schools;No, evolution has no place in schools;;
q23834;Do you often make jokes that offend more uptight people?;Yes;No;;;
q212813;Which best describes your political beliefs?;Liberal / Left-wing;Centrist;Conservative / Right-wing;Other;
q175;Should burning your country's flag be illegal?;Yes;No;;;
q221105;How often do you use Facebook?;I'm a very active user.;I'm a somewhat active user.;I rarely use it.;I never use it.;
q12605;Once you're intimate, how often would you and your significant other have sex?;Every day;About every other day;Once or twice a week;A few times a month or less;
q18834;If you had to name your greatest motivation in life thus far, what would it be?;Love;Wealth;Expression;Knowledge;
q1815;Could you date someone who already has children from a previous relationship?;Yes;No;;;
q87;Is smoking disgusting?;Yes;No;;;
q12970;How often do you brush your teeth?;Twice or more a day;Once a day;Only on days I feel like it;Rarely / never;
q48753;Do you like to cuddle?;Yes.;No.;Sometimes - It depends.;;
q24345;How much can intelligence turn you on?;A lot!;A bit.;Intelligence does nothing for me either way.;Intelligence turns me off.;
q358014;Could you date someone who was really quiet?;Yes;No;;;
q24125;Do you believe contraception is morally wrong?;Yes;No;;;
q41953;About how long do you want your next relationship to last?;One night;A few months to a year;Several years;The rest of my life;
q23543;Is it a requirement that you communicate every day with your significant other (via phone, text, in person, whatever)?;Yes, no matter what;Yes, unless otherwise specified;No, it's not necessary;No, I'd prefer not to communicate daily;
q358080;What is the most exciting thing about getting to know someone new?;Discovering your shared interests;Discovering their body;;;
q70;Do you think homosexuality is a sin?;Yes;No;;;
q149;Which makes for a better relationship?;Passion;Dedication;;;
q35660;How often are you open with your feelings?;Always;Usually;Rarely;Never;
q29829;How often do you keep your promises?;Always;Whenever possible;Usually;When convenient;
q79;What's your relationship with marijuana?;I smoke regularly.;I smoke occasionally.;I smoked in the past, but no longer.;Never.;
q49;Which word describes you better?;Carefree;Intense;;;
q80;What's your deal with harder drugs (stuff beyond pot)?;I do drugs regularly.;I do drugs occasionally.;I've done drugs in the past, but no longer.;I never do drugs.;
q12964;Would you need to sleep with someone before you considered marrying them?;Yes;No;;;
q35;Regardless of future plans, what's more interesting to you right now?;Sex;Love;;;
q154;In a certain light, wouldn't nuclear war be exciting?;Yes, it would.;No, it wouldn't.;;;
q24375;Say you've started seeing someone you really like. As far as you're concerned, how long will it take before you have sex?;1-2 dates;3-5 dates;6 or more dates;Only after the wedding;
q1440;Is jealousy healthy in a relationship?;Yes;No;;;
q46;Would you prefer good things happened, or interesting things?;Good;Interesting;;;
q403;Do you enjoy discussing politics?;Yes;No;;;
q48;Which would you rather be?;Normal;Weird;;;
q77;How frequently do you drink alcohol?;Very often;Sometimes;Rarely;Never;
q1597;Would you consider sleeping with someone on the first date?;Yes;No;;;
q553;Do spelling mistakes annoy you?;Yes;No;;;
q123;Would you strongly prefer to go out with someone of your own skin color / racial background?;Yes;No;;;
q4018;Are you happy with your life?;Yes;No;;;
q20930;Rate your self-confidence:;Very, very high;Higher than average;Average;Below average;
q41;How important is religion/God in your life?;Extremely important;Somewhat important;Not very important;Not at all important;
q179268;Are you either vegetarian or vegan?;Yes;No;;;
q325;Would you consider having an open relationship (i.e., one where you can see other people)?;Yes;No;;;
q358084;Do you enjoy intense intellectual conversations?;Yes;No;;;
q997;Are you a cat person or a dog person?;Cats;Dogs;Both;Neither;
q44639;Do you like scary movies?;Yes;No;;;
q60100;Is astrological sign at all important in a match?;Yes;No;;;
q358077;Could you date someone who was really messy?;Yes;No;;;
q9688;Could you date someone who does drugs?;No;Yes, but only soft stuff like marijuana;Yes;;
q501;Have you smoked a cigarette in the last 6 months?;Yes;No;;;
q16053;How willing are you to meet someone from OkCupid in person?;Totally willing!;Hesitant, but I'd certainly consider it.;I'm not interested in meeting in person.;;
